Page ID,Section name,H1,Current URL,Current page path,New page path,Hierarchy level,Page type,Content section,Queries,Level of factual updates,HR owner (information provider and approver),Sitemap queries for HR,Additional migration instructions,Page template,Hide from nav,CMS preview,CMS edit
2,Phased return,Manager guidance: phased returns to work,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/returning-to-work-mg/phased-return-to-work/,/admin/hr/leave-and-absence/sickness-absence/returning-to-work-mg/phased-return-to-work/,/hr/employment/leave-absence/sickness-absence/returning-to-work-mg/phased-return-to-work/,6,Multistep guide,"04 My employment (attendance, leave and absence)",None,Not Found,Laura McIlroy,,,multiPage-template-2017,FALSE,Preview,Edit
,Applying,Applying for maternity leave,https://www.york.ac.uk/admin/hr/leave-and-absence/parental-leave/maternity/applying/index-inc.cfm,/admin/hr/leave-and-absence/parental-leave/maternity/applying/index-inc.cfm,,,,"04 My employment (attendance, leave and absence)",Deleting,,Laura McIlroy,RK confirmed test page - not required,,multiPage-template-2017,FALSE,#N/A,#N/A
,"Managing occasional, frequent and long term absence",,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/managing-absence/,/admin/hr/leave-and-absence/sickness-absence/managing-absence/,,,,"04 My employment (attendance, leave and absence)",Deleting,,Laura McIlroy,RK confirmed reworked in Sept 2025.,,answer-template-2017,FALSE,#N/A,#N/A
,Salary during sickness absence,,https://www.york.ac.uk/admin/hr/leave-and-absence/sickness-absence/salary-during-sickness-absence/,/admin/hr/leave-and-absence/sickness-absence/salary-during-sickness-absence/,,,,"04 My employment (attendance, leave and absence)",Deleting,,Laura McIlroy,Removed during the big rework of all Absence pages in September 2025 https://www.york.ac.uk/admin/hr/browse/leave-and-absence/sickness-absence. RK confirmed no longer required.,,answer-template-2017,FALSE,#N/A,#N/A
2.3,Pensions,,https://www.york.ac.uk/admin/hr/browse/pensions,/browse/pensions,/hr/employment/pensions/,3,Index page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,Browse listing page,FALSE,Preview,Edit
2.3.5,NHS Pension Scheme,,https://www.york.ac.uk/admin/hr/browse/pensions/nhs,/browse/pensions/nhs,,4,Index page,05 My employment (pensions),Deleting,Fine as is,Gillian Hamilton,Deleting this page as there is only one link and instead we will point straight to: https://www.york.ac.uk/admin/hr/pensions/nhs/what-is-the-nhs-pension-scheme/,,Browse listing page,FALSE,#N/A,#N/A
,About the NHS Pension Scheme at York,,https://www.york.ac.uk/admin/hr/pensions/nhs/what-is-the-nhs-pension-scheme/,/admin/hr/pensions/nhs/what-is-the-nhs-pension-scheme/,/hr/employment/pensions/nhs/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,Include a link to the external guidance: https://www.nhsbsa.nhs.uk/nhs-pensions,answer-template-2017,FALSE,Preview,Edit
2.3.4,The People's Pension,,https://www.york.ac.uk/admin/hr/browse/pensions/peoples-pension,/browse/pensions/peoples-pension,/hr/employment/pensions/peoples-pension/,4,Index page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,Browse listing page,FALSE,Preview,Edit
,Automatic enrolment,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/auto-enrolment/,/admin/hr/pensions/peoples-pension/auto-enrolment/,/hr/employment/pensions/peoples-pension/auto-enrolment/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Membership administration,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/being-a-member/,/admin/hr/pensions/peoples-pension/being-a-member/,/hr/employment/pensions/peoples-pension/being-a-member/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Contribution rates,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/contribution-rates/,/admin/hr/pensions/peoples-pension/contribution-rates/,/hr/employment/pensions/peoples-pension/contribution-rates/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,The People's Pension contribution modeller,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/contribution-rates/pay-modeller/,/admin/hr/pensions/peoples-pension/contribution-rates/pay-modeller/,/hr/employment/pensions/peoples-pension/contribution-rates/pay-modeller/,5,"Information page, Access control required",05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Leaving or retiring,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/leaving-or-retiring/,/admin/hr/pensions/peoples-pension/leaving-or-retiring/,/hr/employment/pensions/peoples-pension/leaving-or-retiring/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,What is The People's Pension,,https://www.york.ac.uk/admin/hr/pensions/peoples-pension/what-is-the-peoples-pension/,/admin/hr/pensions/peoples-pension/what-is-the-peoples-pension/,/hr/employment/pensions/peoples-pension/what-is-the-peoples-pension/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
2.3.2,University of York Pension Fund,,https://www.york.ac.uk/admin/hr/browse/pensions/uoy,/browse/pensions/uoy,/hr/employment/pensions/uoy/,4,Index page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
2.3.3,UoY 2021 valuation,,https://www.york.ac.uk/admin/hr/browse/pensions/uoy-2021-valuation,/browse/pensions/uoy-2021-valuation,/hr/employment/pensions/uoy-2021-valuation/,4,Index page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,Browse listing page,FALSE,Preview,Edit
,University of York Pension Fund,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/changes-from-original-proposal/,/admin/hr/pensions/uoy-2021-valuation/changes-from-original-proposal/,/hr/employment/pensions/uoy-2021-valuation/changes-from-original-proposal/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Questions and answers on fund benefit reform,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/questions-and-answers-21-march-2022/,/admin/hr/pensions/uoy-2021-valuation/questions-and-answers-21-march-2022/,,5,Information page,05 My employment (pensions),Deleting,,Gillian Hamilton,RK confirmed went offline (no date).,,answer-template-2017,FALSE,#N/A,#N/A
,Summary of new benefit structure from April 2022,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/summary-of-new-benefit-structure/,/admin/hr/pensions/uoy-2021-valuation/summary-of-new-benefit-structure/,/hr/employment/pensions/uoy-2021-valuation/summary-of-new-benefit-structure/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,VC email on proposed UoYPF benefit reform - consultation feedback,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/vc-email-25-march-2022/,/admin/hr/pensions/uoy-2021-valuation/vc-email-25-march-2022/,/hr/employment/pensions/uoy-2021-valuation/vc-email-25-march-2022/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,VC email on UOYPF changes as of April 2022,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/vc-email-31-march-2022/,/admin/hr/pensions/uoy-2021-valuation/vc-email-31-march-2022/,/hr/employment/pensions/uoy-2021-valuation/vc-email-31-march-2022/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,VC's email regarding the consultation,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/vc-email-6-jan-2022/,/admin/hr/pensions/uoy-2021-valuation/vc-email-6-jan-2022/,/hr/employment/pensions/uoy-2021-valuation/vc-email-6-jan-2022/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,VC's letter regarding the valuation,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/vc-email-on-valuation-21-sept-2021/,/admin/hr/pensions/uoy-2021-valuation/vc-email-on-valuation-21-sept-2021/,/hr/employment/pensions/uoy-2021-valuation/vc-email-on-valuation-21-sept-2021/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,VC's email on proposed changes to the University of York Pension Fund,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/vc-letter-on-6-dec-2021/,/admin/hr/pensions/uoy-2021-valuation/vc-letter-on-6-dec-2021/,/hr/employment/pensions/uoy-2021-valuation/vc-letter-on-6-dec-2021/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,University of York Pension Fund - benefit change proposals,,https://www.york.ac.uk/admin/hr/pensions/uoy-2021-valuation/what-you-need-to-know/,/admin/hr/pensions/uoy-2021-valuation/what-you-need-to-know/,/hr/employment/pensions/uoy-2021-valuation/what-you-need-to-know/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,topic-template-2017,FALSE,Preview,Edit
,Membership administration,,https://www.york.ac.uk/admin/hr/pensions/uoy/being-a-member/,/admin/hr/pensions/uoy/being-a-member/,/hr/employment/pensions/uoy/being-a-member/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Extra ways to save,,https://www.york.ac.uk/admin/hr/pensions/uoy/extra-ways-to-save/,/admin/hr/pensions/uoy/extra-ways-to-save/,/hr/employment/pensions/uoy/extra-ways-to-save/,5,Information page (non standard),05 My employment (pensions),None,Fine as is,Gillian Hamilton,,Proposing to include the full table on the page rather than the slider. Checking with Gillian in HR.,answer-template-2017,FALSE,Preview,Edit
,Joining the scheme,,https://www.york.ac.uk/admin/hr/pensions/uoy/joining-the-scheme/,/admin/hr/pensions/uoy/joining-the-scheme/,/hr/employment/pensions/uoy/joining-the-scheme/,5,Information page,05 My employment (pensions),None,,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Leaving,,https://www.york.ac.uk/admin/hr/pensions/uoy/leaving-the-scheme/,/admin/hr/pensions/uoy/leaving-the-scheme/,/hr/employment/pensions/uoy/leaving-the-scheme/,5,Information page,05 My employment (pensions),None,,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,"Information for deferred members
",,https://www.york.ac.uk/admin/hr/pensions/uoy/information-for-deferred-members/,/admin/hr/pensions/uoy/information-for-deferred-members/,/hr/employment/pensions/uoy/information-for-deferred-members/,5,Information page,05 My employment (pensions),None,Not Found,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Information for retired members,,https://www.york.ac.uk/admin/hr/pensions/uoy/retired-members/,/admin/hr/pensions/uoy/retired-members/,/hr/employment/pensions/uoy/retired-members/,5,Information page,05 My employment (pensions),None,Major rewrite required,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Retiring,,https://www.york.ac.uk/admin/hr/pensions/uoy/retiring/,/admin/hr/pensions/uoy/retiring/,/hr/employment/pensions/uoy/retiring/,5,Information page,05 My employment (pensions),None,,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Trustee Board,,https://www.york.ac.uk/admin/hr/pensions/uoy/trustee-board/,/admin/hr/pensions/uoy/trustee-board/,/hr/employment/pensions/uoy/trustee-board/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,What is the University of York Pension Fund,,https://www.york.ac.uk/admin/hr/pensions/uoy/what-is-the-uoy-pension-fund/,/admin/hr/pensions/uoy/what-is-the-uoy-pension-fund/,/hr/employment/pensions/uoy/what-is-the-uoy-pension-fund/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Participating employers,,https://www.york.ac.uk/admin/hr/pensions/uoy/who-uses-the-scheme/,/admin/hr/pensions/uoy/who-uses-the-scheme/,/hr/employment/pensions/uoy/who-uses-the-scheme/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
2.3.1,USS,,https://www.york.ac.uk/admin/hr/browse/pensions/uss,/browse/pensions/uss,/hr/employment/pensions/uss/,4,Index page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,Browse listing page,FALSE,Preview,Edit
,Member administration,,https://www.york.ac.uk/admin/hr/pensions/uss/being-a-member/,/admin/hr/pensions/uss/being-a-member/,/hr/employment/pensions/uss/being-a-member/,5,Information page,05 My employment (pensions),None,,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Extra ways to save,,https://www.york.ac.uk/admin/hr/pensions/uss/extra-ways-to-save/,/admin/hr/pensions/uss/extra-ways-to-save/,/hr/employment/pensions/uss/extra-ways-to-save/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Leaving or retiring,,https://www.york.ac.uk/admin/hr/pensions/uss/leaving-or-retiring/,/admin/hr/pensions/uss/leaving-or-retiring/,/hr/employment/pensions/uss/leaving-or-retiring/,5,Information page,05 My employment (pensions),None,,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,Pensions tax information USS,,https://www.york.ac.uk/admin/hr/pensions/uss/pensions-tax/,/admin/hr/pensions/uss/pensions-tax/,/hr/employment/pensions/uss/pensions-tax/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
,What is the Universities Superannuation Scheme,,https://www.york.ac.uk/admin/hr/pensions/uss/what-is-uss/,/admin/hr/pensions/uss/what-is-uss/,/hr/employment/pensions/uss/what-is-uss/,5,Information page,05 My employment (pensions),None,Fine as is,Gillian Hamilton,,,answer-template-2017,FALSE,Preview,Edit
2.4,Health and wellbeing,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being,/browse/health-and-well-being,/hr/employment/health-wellbeing/,3,Index page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,"For report + support include the summary text from https://www.york.ac.uk/admin/hr/browse/health-and-well-being/report-and-support

For the support, health and wellbeing link at the end point directly to: https://www.york.ac.uk/staff/essentials/support/",Browse listing page,FALSE,Preview,Edit
2.4.2,Information for disabled staff,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/information-disabled-staff,/browse/health-and-well-being/information-disabled-staff,/hr/employment/health-wellbeing/disabled-staff/,4,Index page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,Browse listing page,FALSE,Preview,Edit
2.4.1,Employee assistance,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/employee-assistance,/browse/health-and-well-being/employee-assistance,/hr/employment/health-wellbeing/employee-assistance/,4,Index page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Move main links into a 'searchable list/table' content type,Browse listing page,FALSE,Preview,Edit
,Employee assistance programme,PAM Wellness: your employee assistance programme,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/confidential-care/,/admin/hr/health-and-well-being/employee-assistance/confidential-care/,/hr/employment/health-wellbeing/employee-assistance/confidential-care/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Emotional support,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/emotional-support/,/admin/hr/health-and-well-being/employee-assistance/emotional-support/,/hr/employment/health-wellbeing/employee-assistance/emotional-support/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Support for managers,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/manager-support/,/admin/hr/health-and-well-being/employee-assistance/manager-support/,/hr/employment/health-wellbeing/employee-assistance/manager-support/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Practical help and advice,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/practical-support/,/admin/hr/health-and-well-being/employee-assistance/practical-support/,/hr/employment/health-wellbeing/employee-assistance/practical-support/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,PAM app and portal,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/app/,/admin/hr/health-and-well-being/employee-assistance/app/,/hr/employment/health-wellbeing/employee-assistance/app/,5,Information page,06 My employment (health and wellbeing),None,,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Ways to get in touch,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/contact/ ,/admin/hr/health-and-well-being/employee-assistance/contact/,/hr/employment/health-wellbeing/employee-assistance/contact/,5,Information page,06 My employment (health and wellbeing),None,,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Feedback,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/feedback/ ,/admin/hr/health-and-well-being/employee-assistance/feedback/,/hr/employment/health-wellbeing/employee-assistance/feedback/,5,Information page,06 My employment (health and wellbeing),None,,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
2.4.3,Occupational health,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/occupational-health,/browse/health-and-well-being/occupational-health,/hr/employment/health-wellbeing/occupational-health/,4,Index page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,Browse listing page,FALSE,Preview,Edit
,Book an appointment,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/booking-an-appointment/,/admin/hr/health-and-well-being/occupational-health/booking-an-appointment/,/hr/employment/health-wellbeing/occupational-health/booking-an-appointment/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Computer workstations guidance and help,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/computer-workstation-assessment/,/admin/hr/health-and-well-being/occupational-health/computer-workstation-assessment/,/hr/employment/health-wellbeing/occupational-health/computer-workstation-assessment/,5,Information page,06 My employment (health and wellbeing),None,Minor updates actioned,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Health questionnaire - direct appointment,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/declaration-direct-appoint/,/admin/hr/health-and-well-being/occupational-health/declaration-direct-appoint/,/hr/employment/health-wellbeing/occupational-health/declaration-direct-appoint/,5,Online form,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Working with Hazard Group 3 pathogens,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/hazard-group-3-pathogens/,/admin/hr/health-and-well-being/occupational-health/hazard-group-3-pathogens/,/hr/employment/health-wellbeing/occupational-health/hazard-group-3-pathogens/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Health declaration form,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/health-declaration/,/admin/hr/health-and-well-being/occupational-health/health-declaration/,/hr/employment/health-wellbeing/occupational-health/health-declaration/,5,Online form,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Health screening questionnaire,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/health-screening-questionnaire/,/admin/hr/health-and-well-being/occupational-health/health-screening-questionnaire/,/hr/employment/health-wellbeing/occupational-health/health-screening-questionnaire/,5,Online form,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Health screening requirements,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/health-screening-requirements/,/admin/hr/health-and-well-being/occupational-health/health-screening-requirements/,/hr/employment/health-wellbeing/occupational-health/health-screening-requirements/,5,Online form,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Embed the form using the Javascript embed template: https://uoy.atlassian.net/wiki/spaces/DM/pages/45037655/Formstack+form+Javascript+embed,answer-template-2017,TRUE,Preview,Edit
,Night worker health assessments,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/night-worker-health-assessments/,/admin/hr/health-and-well-being/occupational-health/night-worker-health-assessments/,/hr/employment/health-wellbeing/occupational-health/night-worker-health-assessments/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Refer a member of staff or yourself to Occupational Health,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/referring-to-occupational-health/,/admin/hr/health-and-well-being/occupational-health/referring-to-occupational-health/,/hr/employment/health-wellbeing/occupational-health/referring-to-occupational-health/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Students access to Occupational Health services,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/student-access-to-oh/,/admin/hr/health-and-well-being/occupational-health/student-access-to-oh/,/hr/employment/health-wellbeing/occupational-health/student-access-to-oh/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Travelling overseas advice for staff,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/travelling-for-work/,/admin/hr/health-and-well-being/occupational-health/travelling-for-work/,/hr/employment/health-wellbeing/occupational-health/travelling-for-work/,5,Information page,06 My employment (health and wellbeing),None,Minor updates actioned,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
2.4.4,Stress management,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/stress,/browse/health-and-well-being/stress,/hr/employment/health-wellbeing/stress/,4,Index page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,Browse listing page,FALSE,Preview,Edit
,Absence from work,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/absence-from-work/,/admin/hr/health-and-well-being/stress/absence-from-work/,/hr/employment/health-wellbeing/stress/absence-from-work/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Bullying and harassment,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/bullying-and-harassment/,/admin/hr/health-and-well-being/stress/bullying-and-harassment/,/hr/employment/health-wellbeing/stress/bullying-and-harassment/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Conflict and disagreement,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/conflict-and-disagreement/,/admin/hr/health-and-well-being/stress/conflict-and-disagreement/,/hr/employment/health-wellbeing/stress/conflict-and-disagreement/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Handling critical incidents,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/critical-incidents/overview/,/admin/hr/health-and-well-being/stress/critical-incidents/overview/,/hr/employment/health-wellbeing/stress/critical-incidents/,5,Multistep parent,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,Not step-by-step,multiPage-template-2017,FALSE,Preview,Edit
1,Key actions,Handling critical incidents: Key actions,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/critical-incidents/key-actions/,/admin/hr/health-and-well-being/stress/critical-incidents/key-actions/,/hr/employment/health-wellbeing/stress/critical-incidents/key-actions/,6,Multistep guide,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,multiPage-template-2017,FALSE,Preview,Edit
2,Further information,Handling critical incidents: Further information,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/critical-incidents/further-info/,/admin/hr/health-and-well-being/stress/critical-incidents/further-info/,/hr/employment/health-wellbeing/stress/critical-incidents/further-info/,6,Multistep guide,06 My employment (health and wellbeing),Query - general,Fine as is,Suzy Shelton,Should there be a link to the E6 page about harassment?,,multiPage-template-2017,FALSE,Preview,Edit
,I am suffering from stress,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/i-am-stressed/,/admin/hr/health-and-well-being/stress/i-am-stressed/,/hr/employment/health-wellbeing/stress/i-am-stressed/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,My employee is suffering from stress,,https://www.york.ac.uk/admin/hr/health-and-well-being/stress/my-employee-is-stressed/,/admin/hr/health-and-well-being/stress/my-employee-is-stressed/,/hr/employment/health-wellbeing/stress/my-employee-is-stressed/,5,Information page,06 My employment (health and wellbeing),None,Fine as is,Suzy Shelton,,,answer-template-2017,FALSE,Preview,Edit
,Working with radiation at foreign institutions,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/working-with-radiation/,/admin/hr/health-and-well-being/occupational-health/working-with-radiation/,,,Information page,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed offline since 2021.,,answer-template-2017,FALSE,#N/A,#N/A
,Manager referral process,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/manager-referral/,/admin/hr/health-and-well-being/employee-assistance/manager-referral/,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed replaced by https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/manager-support/,,answer-template-2017,FALSE,#N/A,#N/A
,My Healthy Advantage app,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/my-healthy-advantage-app/,/admin/hr/health-and-well-being/employee-assistance/my-healthy-advantage-app/,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed reworked into the following page due to change in provider: https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/app/ ,,answer-template-2017,FALSE,#N/A,#N/A
,Online resources,,https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/online-resources/,/admin/hr/health-and-well-being/employee-assistance/online-resources/,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed content split between: https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/practical-support/ & https://www.york.ac.uk/admin/hr/health-and-well-being/employee-assistance/emotional-support/ due to change in provider and content,,answer-template-2017,FALSE,#N/A,#N/A
,NHS Research passports,,https://www.york.ac.uk/admin/hr/health-and-well-being/occupational-health/archive/research-passports/,/admin/hr/health-and-well-being/occupational-health/archive/research-passports/,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,Reworked into the following page: https://www.york.ac.uk/admin/hr/policies/appointments-contracts-leavers/nhs-research-passports/,,answer-template-2017,FALSE,#N/A,#N/A
,Mental Health First Contact Network,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/mental-health-first-aid,/browse/health-and-well-being/mental-health-first-aid,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,RK confirmed page retired,,Not Found,FALSE,#N/A,#N/A
,Report and support,,https://www.york.ac.uk/admin/hr/browse/health-and-well-being/report-and-support,/browse/health-and-well-being/report-and-support,,,,06 My employment (health and wellbeing),Deleting,,Suzy Shelton,Delete and link to R&S directly from (no need for the extra step) https://www.york.ac.uk/admin/hr/browse/health-and-well-being,,Browse listing page,FALSE,#N/A,#N/A
